"VAR","Variable","UNIT","Measure","COU","Country","YEA","Year","Value","Flag Codes","Flags"
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","CZE","Czech Republic","2015","2015",2551,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","CZE","Czech Republic","2016","2016",2557,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","CZE","Czech Republic","2017","2017",2550,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","CZE","Czech Republic","2018","2018",2596,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","CZE","Czech Republic","2019","2019",2434,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","DNK","Denmark","2010","2010",749,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","DNK","Denmark","2011","2011",725,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","DNK","Denmark","2012","2012",646,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","DNK","Denmark","2013","2013",605,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","DNK","Denmark","2014","2014",566,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","DNK","Denmark","2015","2015",555,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","DNK","Denmark","2016","2016",563,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","DNK","Denmark","2017","2017",545,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","DNK","Denmark","2018","2018",567,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","DNK","Denmark","2019","2019",529,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","FIN","Finland","2010","2010",1431,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","FIN","Finland","2011","2011",1472,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","FIN","Finland","2012","2012",1309,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","FIN","Finland","2013","2013",1228,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","FIN","Finland","2014","2014",1222,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","FIN","Finland","2015","2015",1169,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","FIN","Finland","2016","2016",1076,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","FIN","Finland","2017","2017",1012,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","FIN","Finland","2018","2018",961,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","FIN","Finland","2019","2019",908,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","FRA","France","2010","2010",1342,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","FRA","France","2011","2011",1285,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","FRA","France","2012","2012",1193,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","FRA","France","2013","2013",1107,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","FRA","France","2014","2014",1137,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","FRA","France","2015","2015",1101,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","FRA","France","2016","2016",1124,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","FRA","France","2017","2017",1152,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","FRA","France","2018","2018",1095,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","FRA","France","2019","2019",1106,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","FRA","France","2020","2020",828,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","FRA","France","2021","2021",1025,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","DEU","Germany","2010","2010",4623,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","DEU","Germany","2011","2011",4888,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","DEU","Germany","2012","2012",4779,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","DEU","Germany","2013","2013",4639,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","DEU","Germany","2014","2014",4810,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","DEU","Germany","2015","2015",4816,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","DEU","Germany","2016","2016",4817,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","DEU","Germany","2017","2017",4722,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","DEU","Germany","2018","2018",4777,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","DEU","Germany","2019","2019",4624,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","GRC","Greece","2010","2010",1718,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","GRC","Greece","2011","2011",1552,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","GRC","Greece","2012","2012",1411,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","GRC","Greece","2013","2013",1379,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","GRC","Greece","2014","2014",1333,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","GRC","Greece","2015","2015",1298,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","GRC","Greece","2016","2016",1282,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","GRC","Greece","2017","2017",1232,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","GRC","Greece","2018","2018",1224,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","GRC","Greece","2019","2019",1212,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","GRC","Greece","2020","2020",1009,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","GRC","Greece","2021","2021",1157,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","HUN","Hungary","2010","2010",2166,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","HUN","Hungary","2011","2011",2090,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","HUN","Hungary","2012","2012",1974,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","HUN","Hungary","2013","2013",2090,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","HUN","Hungary","2014","2014",2103,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","HUN","Hungary","2015","2015",2189,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","HUN","Hungary","2016","2016",2235,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","HUN","Hungary","2017","2017",2255,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","HUN","Hungary","2018","2018",2315,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","HUN","Hungary","2019","2019",2272,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","HUN","Hungary","2020","2020",1864,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","HUN","Hungary","2021","2021",1971,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","ISL","Iceland","2010","2010",3965.3,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","ISL","Iceland","2011","2011",3814.9,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","ISL","Iceland","2012","2012",3227.2,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","ISL","Iceland","2013","2013",3758.9,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","ISL","Iceland","2014","2014",3567.7,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","ISL","Iceland","2015","2015",3953.9,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","ISL","Iceland","2016","2016",4206.4,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","ISL","Iceland","2017","2017",3992.4,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","ISL","Iceland","2018","2018",3603.4,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","ISL","Iceland","2019","2019",3134,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","ISL","Iceland","2020","2020",2747.9,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","ISL","Iceland","2021","2021",3095.1,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","ISL","Iceland","2022","2022",2934.5,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","IRL","Ireland","2010","2010",1815,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","IRL","Ireland","2011","2011",1588,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","IRL","Ireland","2012","2012",1735,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","IRL","Ireland","2013","2013",1498,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","IRL","Ireland","2014","2014",1732,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","IRL","Ireland","2015","2015",1665,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","IRL","Ireland","2016","2016",1627,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","IRL","Ireland","2017","2017",1623,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","IRL","Ireland","2018","2018",1646,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","IRL","Ireland","2019","2019",1542,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","IRL","Ireland","2020","2020",1124,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","IRL","Ireland","2021","2021",1227,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","ITA","Italy","2010","2010",5094,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","ITA","Italy","2011","2011",4865,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","ITA","Italy","2012","2012",4434,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","ITA","Italy","2013","2013",4256,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","ITA","Italy","2014","2014",4131,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","ITA","Italy","2015","2015",4066,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","ITA","Italy","2016","2016",4110,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","ITA","Italy","2017","2017",4076,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","ITA","Italy","2018","2018",4057,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","ITA","Italy","2019","2019",4041,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","ITA","Italy","2020","2020",2679,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","ITA","Italy","2021","2021",3511,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","JPN","Japan","2010","2010",6999,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","JPN","Japan","2011","2011",6687,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","JPN","Japan","2012","2012",6473,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","JPN","Japan","2013","2013",6139,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","JPN","Japan","2014","2014",5598,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","JPN","Japan","2015","2015",5240,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","JPN","Japan","2016","2016",4875.4,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","JPN","Japan","2017","2017",4584.2,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","JPN","Japan","2018","2018",4158.8,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","JPN","Japan","2019","2019",3652,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","JPN","Japan","2020","2020",2929,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","JPN","Japan","2021","2021",2885.5,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","JPN","Japan","2022","2022",2839.9,"P","Provisional value"
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","KOR","Korea","2010","2010",7133,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","KOR","Korea","2011","2011",6858,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","KOR","Korea","2012","2012",6891,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","KOR","Korea","2013","2013",6545,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","KOR","Korea","2014","2014",6693,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","KOR","Korea","2015","2015",6923,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","KOR","Korea","2016","2016",6530,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","KOR","Korea","2017","2017",6275,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","KOR","Korea","2018","2018",6256,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","KOR","Korea","2019","2019",6608,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","KOR","Korea","2020","2020",5913,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","KOR","Korea","2021","2021",5627,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","LUX","Luxembourg","2010","2010",2335,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","LUX","Luxembourg","2011","2011",2518,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","LUX","Luxembourg","2012","2012",2593,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","LUX","Luxembourg","2013","2013",2296,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","LUX","Luxembourg","2014","2014",2196,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","LUX","Luxembourg","2015","2015",2367,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","LUX","Luxembourg","2016","2016",2059,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","LUX","Luxembourg","2017","2017",2131,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","LUX","Luxembourg","2018","2018",2001,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","LUX","Luxembourg","2019","2019",2085,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","MEX","Mexico","2010","2010",1514.8,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","MEX","Mexico","2011","2011",1402.4,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","MEX","Mexico","2012","2012",1314.3,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","MEX","Mexico","2013","2013",1214.2,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","MEX","Mexico","2014","2014",1131.4,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","MEX","Mexico","2015","2015",1013.1,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","MEX","Mexico","2016","2016",886.5,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","MEX","Mexico","2017","2017",806.7,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","MEX","Mexico","2018","2018",781.8,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","MEX","Mexico","2019","2019",792.1,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","MEX","Mexico","2020","2020",615.4,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","MEX","Mexico","2021","2021",703.1,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","NLD","Netherlands","2010","2010",750,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","NLD","Netherlands","2011","2011",348,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","NLD","Netherlands","2012","2012",330,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","NLD","Netherlands","2013","2013",633,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","NLD","Netherlands","2014","2014",869,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","NLD","Netherlands","2015","2015",1196,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","NLD","Netherlands","2016","2016",1213,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","NLD","Netherlands","2017","2017",1197,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","NLD","Netherlands","2018","2018",1221,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","NLD","Netherlands","2019","2019",1203,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","NZL","New Zealand","2010","2010",9526.8,"D","Difference in methodology"
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","NZL","New Zealand","2011","2011",8073,"D","Difference in methodology"
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","NZL","New Zealand","2012","2012",7889,"D","Difference in methodology"
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","NZL","New Zealand","2013","2013",7854,"D","Difference in methodology"
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","NZL","New Zealand","2014","2014",7462,"D","Difference in methodology"
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","NZL","New Zealand","2015","2015",8278,"D","Difference in methodology"
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","NZL","New Zealand","2016","2016",8019,"D","Difference in methodology"
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","NZL","New Zealand","2017","2017",8583,"D","Difference in methodology"
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","NZL","New Zealand","2018","2018",8297.8,"D","Difference in methodology"
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","NZL","New Zealand","2019","2019",8042.5,"D","Difference in methodology"
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","NZL","New Zealand","2020","2020",7035.4,"D","Difference in methodology"
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","NOR","Norway","2010","2010",1867,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","NOR","Norway","2011","2011",1688,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","NOR","Norway","2012","2012",1633,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","NOR","Norway","2013","2013",1347,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","NOR","Norway","2014","2014",1225,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","NOR","Norway","2015","2015",1096,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","NOR","Norway","2016","2016",1058,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","NOR","Norway","2017","2017",997,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","NOR","Norway","2018","2018",930,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","NOR","Norway","2019","2019",815,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","NOR","Norway","2020","2020",825,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","NOR","Norway","2021","2021",844,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","POL","Poland","2010","2010",1282,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","POL","Poland","2011","2011",1296,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","POL","Poland","2012","2012",1188,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","POL","Poland","2013","2013",1144,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","POL","Poland","2014","2014",1106,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","POL","Poland","2015","2015",1034,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","POL","Poland","2016","2016",1061,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","POL","Poland","2017","2017",1027,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","POL","Poland","2018","2018",973,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","POL","Poland","2019","2019",924,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","POL","Poland","2020","2020",695,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","POL","Poland","2021","2021",697,,
